,Accuracy,Balanced Acc,Precision (Macro),Recall (Macro),F1 Macro,F1 Weighted
Logistic Regression,0.5930851063829787,0.4651929067816918,0.39104996258702585,0.4651929067816918,0.36110789736983623,0.674204636160067
Deep DNN,0.6223404255319149,0.46587187475037944,0.3778836793855567,0.46587187475037944,0.3609787494679581,0.6891384101892291
Simple DNN,0.6329787234042553,0.4592818915248822,0.37341273699562466,0.4592818915248822,0.35949226313347094,0.6961485643838918
1D-CNN,0.6968085106382979,0.3633876507708283,0.3586035397738323,0.3633876507708283,0.35434782608695653,0.7312808356460068
XGBoost,0.8164893617021277,0.3349109353782251,0.3338714016680118,0.3349109353782251,0.3276441738542195,0.7803503999481849
Random Forest,0.8058510638297872,0.3253854141704609,0.3153409090909091,0.3253854141704609,0.31618542762673524,0.7711330485744827
Baseline (Majority),0.8537234042553191,0.3333333333333333,0.2845744680851064,0.3333333333333333,0.3070301291248207,0.7863564211361763
